"","X10619_tumor.printed_rna"
"HCRTR2",0
"HCST",77
"HDAC1",516
"HDAC10",3
"HDAC11",0
"HDAC11-AS1",0
"HDAC1P1",0
"HDAC1P2",0
"HDAC2",0
"HDAC2-AS2",4
"HDAC3",3
"HDAC4",0
"HDAC5",168
"HDAC6",10
"HDAC7",923
"HDAC8",0
"HDAC9",0
"HDC",7
"HDDC2",102
"HDDC3",15
"HDGF",92
"HDGFL1",0
"HDGFL2",4
"HDGFL3",39
"HDGFP1",0
"HDHD2",8
"HDHD3",0
"HDHD5",2
"HDHD5-AS1",0
"HDLBP",205
"HDX",0
"HEATR1",1478
"HEATR3",7
"HEATR4",88
"HEATR5A",7
"HEATR5B",2
"HEATR6",0
"HEATR9",0
"HEBP1",32
"HEBP2",1360
"HECA",6
"HECTD1",56
"HECTD2",32
"HECTD3",18
"HECTD4",4
"HECW1",0
"HECW1-IT1",0
"HECW2",1
"HEG1",0
"HEIH",39
"HELB",0
"HELLPAR",1809
"HELLS",0
"HELQ",0
"HELT",0
"HELZ",1
"HELZ2",2
"HEMGN",0
"HEMK1",8
"HENMT1",2
"HEPACAM",0
"HEPACAM2",0
"HEPH",0
"HEPHL1",10
"HEPN1",0
"HERC1",7
"HERC2",0
"HERC2P10",2
"HERC2P11",0
"HERC2P2",7
"HERC2P3",0
"HERC2P4",0
"HERC2P5",0
"HERC2P7",0
"HERC2P8",0
"HERC2P9",1
"HERC3",3
"HERC4",0
"HERC5",2
"HERC6",6
"HERPUD1",1
"HERPUD2",38
"HES1",0
"HES2",0
"HES3",384
"HES4",0
"HES5",0
"HES6",0
"HES7",0
"HESX1",0
"HEXA",6
"HEXA-AS1",18
"HEXB",519
"HEXDC",968
"HEXDC-IT1",2
"HEXIM1",215
"HEXIM2",154
"HEY1",3
"HEY2",0
"HEYL",0
"HFE",0
"HFM1",0
"HGC6.3",1749
"HGD",4
"HGF",0
"HGFAC",3
"HGH1",13
"HGS",106
"HGSNAT",51
"HHAT",0
"HHATL",0
"HHATL-AS1",2
"HHEX",2
"HHIP",2
"HHIP-AS1",0
"HHIPL1",0
"HHIPL2",0
"HHLA1",0
"HHLA2",0
"HHLA3",0
"HIBADH",13
"HIBCH",12
"HIC1",199
"HIC2",0
"HID1",1
"HID1-AS1",0
"HIF1A",21
"HIF1A-AS1",261
"HIF1A-AS2",26
"HIF1AN",617
"HIF1AP1",0
"HIF3A",0
"HIGD1A",0
"HIGD1AP1",0
"HIGD1AP10",0
"HIGD1AP11",0
"HIGD1AP12",0
"HIGD1AP13",0
"HIGD1AP14",1
"HIGD1AP15",0
"HIGD1AP16",0
"HIGD1AP17",34
"HIGD1AP18",0
"HIGD1AP2",0
"HIGD1AP3",0
"HIGD1AP4",0
"HIGD1AP5",0
"HIGD1AP6",0
"HIGD1AP8",0
"HIGD1AP9",1
"HIGD1B",133
"HIGD1C",1
"HIGD2A",1
"HIGD2B",0
"HIKESHI",0
"HILPDA",0
"HILS1",0
"HINFP",3
"HINT1",1
"HINT1P1",0
"HINT1P2",0
"HINT2",85
"HINT2P1",0
"HINT3",0
"HIP1",1
"HIP1R",5
"HIPK1",5
"HIPK1-AS1",0
"HIPK2",24
"HIPK3",3
"HIPK4",3002
"HIRA",13
"HIRAP1",0
"HIRIP3",310
"HIST1H1A",1
"HIST1H1B",170
"HIST1H1C",1
"HIST1H1D",0
"HIST1H1E",28
"HIST1H1PS1",597
"HIST1H1PS2",1
"HIST1H1T",875
"HIST1H2AA",0
"HIST1H2AB",0
"HIST1H2AC",0
"HIST1H2AD",0
"HIST1H2AE",0
"HIST1H2AG",0
"HIST1H2AH",0
"HIST1H2AI",0
"HIST1H2AJ",254
"HIST1H2AK",1
"HIST1H2AL",0
"HIST1H2AM",0
"HIST1H2APS1",9
"HIST1H2APS2",1
"HIST1H2APS3",48
"HIST1H2APS4",0
"HIST1H2APS5",0
"HIST1H2APS6",0
"HIST1H2BA",8
"HIST1H2BB",0
"HIST1H2BC",0
"HIST1H2BD",0
"HIST1H2BE",312
"HIST1H2BF",0
"HIST1H2BG",0
"HIST1H2BH",0
"HIST1H2BI",0
"HIST1H2BJ",0
"HIST1H2BK",1
"HIST1H2BL",0
"HIST1H2BM",0
"HIST1H2BN",86
"HIST1H2BO",2
"HIST1H2BPS1",0
"HIST1H2BPS2",0
"HIST1H2BPS3",0
"HIST1H3A",0
"HIST1H3B",0
"HIST1H3C",0
"HIST1H3D",0
"HIST1H3E",0
"HIST1H3F",0
"HIST1H3G",0
"HIST1H3H",102
"HIST1H3I",0
"HIST1H3J",0
"HIST1H3PS1",0
"HIST1H4A",287
"HIST1H4B",74
"HIST1H4C",0
"HIST1H4D",126
"HIST1H4E",0
"HIST1H4F",0
"HIST1H4G",0
"HIST1H4H",69
"HIST1H4I",158
"HIST1H4J",0
"HIST1H4K",0
"HIST1H4L",0
"HIST1H4PS1",69
"HIST2H2AA3",2
"HIST2H2AA4",1
"HIST2H2AB",1621
"HIST2H2AC",147
"HIST2H2BA",0
"HIST2H2BB",0
"HIST2H2BC",85
"HIST2H2BD",48
"HIST2H2BE",0
"HIST2H2BF",12
"HIST2H3A",0
"HIST2H3C",0
"HIST2H3D",0
"HIST2H3DP1",0
"HIST2H3PS2",0
"HIST2H4A",14
"HIST2H4B",6
"HIST3H2A",0
"HIST3H2BA",0
"HIST3H2BB",0
"HIST3H3",0
"HIST4H4",5
"HIVEP1",2
"HIVEP2",5
"HIVEP3",0
"HJURP",515
"HJV",11
"HK1",0
"HK2",1
"HK2P1",0
"HK3",0
"HKDC1",3
"HKR1",0
"HLA-A",18
"HLA-B",49
"HLA-C",86
"HLA-DMA",0
"HLA-DMB",0
"HLA-DOA",0
"HLA-DOB",0
"HLA-DPA1",77
"HLA-DPA2",0
"HLA-DPA3",0
"HLA-DPB1",0
"HLA-DPB2",0
"HLA-DQA1",0
"HLA-DQA2",0
"HLA-DQB1",0
"HLA-DQB1-AS1",25
"HLA-DQB2",0
"HLA-DQB3",0
"HLA-DRA",0
"HLA-DRB1",0
"HLA-DRB2",0
"HLA-DRB3",0
"HLA-DRB4",0
"HLA-DRB5",0
"HLA-DRB6",0
"HLA-DRB7",0
"HLA-DRB8",0
"HLA-DRB9",0
"HLA-E",0
"HLA-F",20
"HLA-F-AS1",1
"HLA-G",0
"HLA-H",1
"HLA-J",0
"HLA-K",3
"HLA-L",5
"HLA-N",0
"HLA-P",0
"HLA-S",0
"HLA-T",0
"HLA-U",1
"HLA-V",0
"HLA-W",5
"HLA-Z",0
"HLCS",4
"HLCS-IT1",0
"HLF",3
"HLFP1",0
"HLTF",125
"HLTF-AS1",126
"HLX",8
"HLX-AS1",99
"HM13",22
"HM13-AS1",15
"HM13-IT1",0
"HM190170.1",0
"HMBOX1",6
"HMBOX1-IT1",0
"HMBS",721
"HMCES",3
"HMCN1",0
"HMCN2",124
"HMG20A",0
"HMG20B",9
"HMGA1",128
"HMGA1P1",0
"HMGA1P2",211
"HMGA1P3",0
"HMGA1P4",0
"HMGA1P5",0
"HMGA1P6",0
"HMGA1P7",0
"HMGA1P8",0
"HMGA2",0
"HMGB1",0
"HMGB1P1",0
"HMGB1P10",13
"HMGB1P11",0
"HMGB1P12",0
"HMGB1P13",0
"HMGB1P14",34
"HMGB1P15",0
"HMGB1P16",0
"HMGB1P17",0
"HMGB1P18",0
"HMGB1P19",0
"HMGB1P20",0
"HMGB1P21",0
"HMGB1P22",0
"HMGB1P23",10
"HMGB1P24",0
"HMGB1P25",0
"HMGB1P26",0
"HMGB1P27",7
"HMGB1P28",0
"HMGB1P29",0
"HMGB1P3",1
"HMGB1P30",0
"HMGB1P31",0
"HMGB1P32",0
"HMGB1P33",0
"HMGB1P35",0
"HMGB1P36",0
"HMGB1P37",0
"HMGB1P38",0
"HMGB1P39",0
"HMGB1P4",0
"HMGB1P40",0
"HMGB1P41",0
"HMGB1P42",0
"HMGB1P44",0
"HMGB1P45",0
"HMGB1P46",0
"HMGB1P47",0
"HMGB1P48",0
"HMGB1P49",0
"HMGB1P5",0
"HMGB1P50",0
"HMGB1P51",13
"HMGB1P6",9
"HMGB1P7",4
"HMGB1P8",49
"HMGB1P9",0
"HMGB2",0
"HMGB2P1",0
"HMGB3",1
"HMGB3P1",0
"HMGB3P10",3
"HMGB3P11",0
"HMGB3P12",0
"HMGB3P13",0
"HMGB3P14",205
"HMGB3P15",0
"HMGB3P16",0
"HMGB3P17",0
"HMGB3P18",1
"HMGB3P19",0
"HMGB3P2",0
"HMGB3P20",0
"HMGB3P21",3
"HMGB3P22",2
"HMGB3P23",0
"HMGB3P24",1
"HMGB3P26",0
"HMGB3P27",0
"HMGB3P3",0
"HMGB3P30",0
"HMGB3P31",0
"HMGB3P32",26
"HMGB3P4",0
"HMGB3P5",0
"HMGB3P6",0
"HMGB3P7",8
"HMGB3P8",0
"HMGB3P9",0
"HMGB4",1
"HMGCL",1
"HMGCLL1",0
"HMGCR",4
"HMGCS1",6
"HMGCS2",148
"HMGN1",14
"HMGN1P10",1
"HMGN1P11",0
"HMGN1P12",0
"HMGN1P13",0
"HMGN1P14",0
"HMGN1P15",0
"HMGN1P16",0
"HMGN1P17",0
"HMGN1P18",0
"HMGN1P19",0
"HMGN1P2",11
"HMGN1P20",0
"HMGN1P24",0
"HMGN1P26",0
"HMGN1P28",0
"HMGN1P3",0
"HMGN1P30",0
"HMGN1P31",0
"HMGN1P32",0
"HMGN1P33",2
"HMGN1P34",0
"HMGN1P35",0
"HMGN1P36",6
"HMGN1P37",0
"HMGN1P38",0
"HMGN1P4",0
"HMGN1P5",0
"HMGN1P6",0
"HMGN1P7",2
"HMGN1P8",0
"HMGN1P9",0
"HMGN2",47
"HMGN2P10",0
"HMGN2P11",0
"HMGN2P13",0
"HMGN2P15",0
"HMGN2P16",0
"HMGN2P17",0
"HMGN2P18",0
"HMGN2P19",0
"HMGN2P20",1
"HMGN2P21",0
"HMGN2P22",0
"HMGN2P23",0
"HMGN2P24",0
"HMGN2P25",0
"HMGN2P26",0
"HMGN2P27",9
"HMGN2P28",0
"HMGN2P3",0
"HMGN2P30",0
"HMGN2P31",0
"HMGN2P32",0
"HMGN2P34",0
"HMGN2P35",11
"HMGN2P36",0
"HMGN2P38",3
"HMGN2P39",0
"HMGN2P4",0
"HMGN2P40",14
"HMGN2P41",0
"HMGN2P46",64
"HMGN2P47",0
"HMGN2P5",0
"HMGN2P6",0
"HMGN2P7",0
"HMGN2P8",0
"HMGN2P9",0
"HMGN3",3
"HMGN3-AS1",230
"HMGN3P1",0
"HMGN4",0
"HMGN5",3
"HMGXB3",45
"HMGXB4",2
"HMHB1",0
"HMMR",6
"HMMR-AS1",45
"HMOX1",0
"HMOX2",28
"HMSD",1
"HMX1",0
"HMX2",0
"HMX3",0
"HNF1A",291
"HNF1A-AS1",22
"HNF1B",2
"HNF4A",88
"HNF4A-AS1",7
"HNF4G",2
"HNF4GP1",0
"HNMT",4
"HNRNPA0",0
"HNRNPA1",20
"HNRNPA1L2",0
"HNRNPA1P1",0
"HNRNPA1P10",4
"HNRNPA1P11",0
"HNRNPA1P12",0
"HNRNPA1P13",0
"HNRNPA1P14",18
"HNRNPA1P15",2
"HNRNPA1P16",0
"HNRNPA1P17",0
"HNRNPA1P18",0
"HNRNPA1P19",0
"HNRNPA1P2",0
"HNRNPA1P20",0
"HNRNPA1P21",1
"HNRNPA1P22",0
"HNRNPA1P23",0
"HNRNPA1P24",0
"HNRNPA1P25",1
"HNRNPA1P26",0
"HNRNPA1P27",0
"HNRNPA1P28",0
"HNRNPA1P29",34
"HNRNPA1P3",0
"HNRNPA1P30",0
"HNRNPA1P31",3
"HNRNPA1P32",0
"HNRNPA1P33",0
"HNRNPA1P34",0
"HNRNPA1P35",14
"HNRNPA1P36",5
"HNRNPA1P37",0
"HNRNPA1P38",0
"HNRNPA1P39",0
"HNRNPA1P4",0
"HNRNPA1P40",0
"HNRNPA1P41",0
"HNRNPA1P42",0
"HNRNPA1P43",0
"HNRNPA1P44",0
"HNRNPA1P45",3
"HNRNPA1P46",0
"HNRNPA1P47",0
"HNRNPA1P48",0
"HNRNPA1P49",34
"HNRNPA1P5",0
"HNRNPA1P50",3
"HNRNPA1P51",0
"HNRNPA1P52",0
"HNRNPA1P53",0
"HNRNPA1P54",1
"HNRNPA1P55",0
"HNRNPA1P56",0
"HNRNPA1P57",0
"HNRNPA1P58",0
"HNRNPA1P59",30
"HNRNPA1P6",0
"HNRNPA1P60",0
"HNRNPA1P61",0
"HNRNPA1P62",11
"HNRNPA1P63",0
"HNRNPA1P64",0
"HNRNPA1P65",0
"HNRNPA1P66",0
"HNRNPA1P67",0
"HNRNPA1P68",24
"HNRNPA1P69",0
"HNRNPA1P7",0
"HNRNPA1P70",0
"HNRNPA1P71",6
"HNRNPA1P72",0
"HNRNPA1P73",0
"HNRNPA1P74",0
"HNRNPA1P76",9
"HNRNPA1P8",0
"HNRNPA1P9",6
"HNRNPA2B1",34
"HNRNPA3",61
"HNRNPA3P1",0
"HNRNPA3P10",9
"HNRNPA3P11",141
"HNRNPA3P12",1
"HNRNPA3P13",0
"HNRNPA3P14",0
"HNRNPA3P15",6
"HNRNPA3P16",0
"HNRNPA3P2",0
"HNRNPA3P3",0
"HNRNPA3P4",0
"HNRNPA3P5",0
"HNRNPA3P6",0
"HNRNPA3P7",3
"HNRNPA3P8",0
"HNRNPA3P9",846
"HNRNPAB",125
"HNRNPABP1",0
"HNRNPC",9
"HNRNPCL1",0
"HNRNPCL2",0
"HNRNPCL3",0
"HNRNPCL4",0
"HNRNPCP1",0
"HNRNPCP10",0
"HNRNPCP2",0
"HNRNPCP3",0
"HNRNPCP4",0
"HNRNPCP6",0
"HNRNPCP7",80
"HNRNPCP8",0
"HNRNPCP9",0
"HNRNPD",7
"HNRNPDL",7
"HNRNPDLP1",0
"HNRNPDLP2",5
"HNRNPDLP3",0
"HNRNPDLP4",0
"HNRNPDP1",1
"HNRNPDP2",0
"HNRNPF",16
"HNRNPFP1",0
"HNRNPH1",10
"HNRNPH1P1",3
"HNRNPH1P2",0
"HNRNPH1P3",0
"HNRNPH2",0
"HNRNPH3",54
"HNRNPH3P1",0
"HNRNPK",12
"HNRNPKP1",0
"HNRNPKP2",0
"HNRNPKP3",0
"HNRNPKP4",0
"HNRNPKP5",1
"HNRNPL",0
"HNRNPLL",0
"HNRNPLP1",0
"HNRNPLP2",0
"HNRNPM",10
"HNRNPMP1",17
"HNRNPMP2",0
"HNRNPR",0
"HNRNPRP1",10
"HNRNPRP2",0
"HNRNPU",609
"HNRNPUL1",11
"HNRNPUL2",0
"HNRNPUL2-BSCL2",0
"HNRNPUP1",0
"HOGA1",2
"HOMER1",0
"HOMER2",59
"HOMER2P1",0
"HOMER2P2",0
"HOMER3",4
"HOMER3-AS1",5
"HOMEZ",0
"HOOK1",6
"HOOK2",344
"HOOK3",12
"HOPX",0
"HORMAD1",0
"HORMAD2",64
"HORMAD2-AS1",2
"HOTAIR",0
"HOTAIRM1",1
"HOTTIP",173
"HOXA-AS2",2
"HOXA-AS3",4
"HOXA1",0
"HOXA10",5
"HOXA10-AS",257
"HOXA11",0
"HOXA11-AS",13
"HOXA13",0
"HOXA2",0
"HOXA3",0
"HOXA4",1
"HOXA5",0
"HOXA6",0
"HOXA7",0
"HOXA9",0
"HOXB-AS1",18
"HOXB-AS2",0
"HOXB-AS3",22
"HOXB-AS4",0
"HOXB1",0
"HOXB13",0
"HOXB2",0
"HOXB3",4
"HOXB4",0
"HOXB5",0
"HOXB6",0
"HOXB7",0
"HOXB8",0
"HOXB9",0
"HOXC-AS1",0
"HOXC-AS2",0
"HOXC-AS3",0
"HOXC10",0
"HOXC11",0
"HOXC12",0
"HOXC13",0
"HOXC13-AS",0
"HOXC4",0
"HOXC5",0
"HOXC6",0
"HOXC8",0
"HOXC9",0
"HOXD-AS2",17
"HOXD1",0
"HOXD10",0
"HOXD11",0
"HOXD12",0
"HOXD13",0
"HOXD3",2
"HOXD4",0
"HOXD8",3
"HOXD9",0
"HP",99
"HP1BP3",0
"HPAT5",0
"HPCA",35
"HPCAL1",3
"HPCAL4",0
"HPD",1
"HPDL",2
"HPF1",1
"HPGD",40
"HPGDS",0
"HPN",8
"HPN-AS1",2727
"HPR",40
"HPRT1",0
"HPRT1P1",0
"HPRT1P2",0
"HPRT1P3",0
"HPS1",1
"HPS3",33807
"HPS4",0
"HPS5",0
"HPS6",2
"HPSE",0
"HPSE2",0
"HPX",23
"HPYR1",0
"HR",0
"HRAS",0
"HRASLS",0
"HRASLS2",0
"HRASLS5",1
"HRAT17",0
"HRAT5",6
"HRAT92",1
"HRC",117
"HRCT1",1
"HRG",63
"HRH1",0
"HRH2",0
"HRH3",0
"HRH4",0
"HRK",0
"HRNR",50
"HS1BP3",1
"HS1BP3-IT1",4
"HS2ST1",1
"HS3ST1",4
"HS3ST2",2
"HS3ST3A1",0
"HS3ST3B1",6
"HS3ST4",0
"HS3ST5",1
"HS3ST6",0
"HS6ST1",7
"HS6ST1P1",0
"HS6ST2",0
"HS6ST2-AS1",0
"HS6ST3",0
"HSBP1",9
"HSBP1L1",294
"HSBP1P1",0
"HSBP1P2",7
"HSCB",0
"HSD11B1",10
"HSD11B1L",5
"HSD11B2",1570
"HSD17B1",560
"HSD17B10",0
"HSD17B11",1
"HSD17B12",0
"HSD17B13",13
"HSD17B14",5
"HSD17B1P1",48
"HSD17B2",4
"HSD17B3",0
"HSD17B3-AS1",31
"HSD17B4",6
"HSD17B6",40
"HSD17B7",0
"HSD17B7P1",0
"HSD17B7P2",0
"HSD17B8",0
"HSD3B1",1
"HSD3B2",4
"HSD3B7",19
"HSD3BP1",14
"HSD3BP2",6
"HSD3BP3",3
"HSD3BP4",15
"HSD3BP5",39
"HSD52",1
"HSDL1",2
"HSDL2",2
"HSF1",0
"HSF2",2
"HSF2BP",0
"HSF4",0
"HSF5",0
"HSFX1",0
"HSFX2",0
"HSFX3",556
"HSFX4",647
"HSFY1",0
"HSFY1P1",0
"HSFY2",0
"HSFY3P",5
"HSFY4P",0
"HSFY5P",0
"HSFY6P",0
"HSFY7P",0
"HSFY8P",0
"HSH2D",0
"HSP90AA1",52
"HSP90AA2P",0
"HSP90AA4P",0
"HSP90AA5P",1
"HSP90AA6P",0
"HSP90AB1",765
"HSP90AB2P",24
"HSP90AB3P",0
"HSP90AB4P",0
"HSP90AB6P",0
"HSP90AB7P",0
"HSP90B1",46
"HSP90B2P",0
"HSP90B3P",0
"HSPA12A",0
"HSPA12B",166
"HSPA13",0
"HSPA14",11
"HSPA1A",0
"HSPA1B",0
"HSPA1L",0
"HSPA2",0
"HSPA4",18
"HSPA4L",17
"HSPA5",76
"HSPA6",0
"HSPA7",0
"HSPA8",23
"HSPA8P1",0
"HSPA8P11",0
"HSPA8P13",0
"HSPA8P14",0
"HSPA8P15",7
"HSPA8P16",0
"HSPA8P17",0
"HSPA8P18",0
"HSPA8P19",12
"HSPA8P20",0
"HSPA8P3",0
"HSPA8P4",0
"HSPA8P5",0
"HSPA8P6",0
"HSPA8P7",0
"HSPA8P8",0
"HSPA8P9",0
"HSPA9",29
"HSPA9P1",0
"HSPB1",12
"HSPB11",1
"HSPB1P1",0
"HSPB1P2",1
"HSPB2",0
"HSPB2-C11orf52",0
"HSPB3",0
"HSPB6",107
"HSPB7",22
"HSPB8",0
"HSPB9",1932
"HSPBAP1",0
"HSPBP1",0
"HSPC324",0
"HSPD1",218
"HSPD1P1",0
"HSPD1P10",0
"HSPD1P11",0
"HSPD1P12",0
"HSPD1P14",0
"HSPD1P15",0
"HSPD1P16",0
"HSPD1P18",0
"HSPD1P2",0
"HSPD1P21",0
"HSPD1P3",0
"HSPD1P4",0
"HSPD1P5",0
"HSPD1P6",0
"HSPD1P7",0
"HSPD1P8",0
"HSPD1P9",0
"HSPE1",10
"HSPE1-MOB4",0
"HSPE1P1",0
"HSPE1P10",0
"HSPE1P11",0
"HSPE1P12",0
"HSPE1P13",0
"HSPE1P14",0
"HSPE1P16",0
"HSPE1P18",0
"HSPE1P19",0
"HSPE1P2",6
"HSPE1P20",0
"HSPE1P21",0
"HSPE1P22",360
"HSPE1P23",0
"HSPE1P24",0
"HSPE1P25",0
"HSPE1P26",0
"HSPE1P27",16
"HSPE1P28",0
"HSPE1P3",1
"HSPE1P4",0
"HSPE1P5",0
"HSPE1P6",0
"HSPE1P7",0
"HSPE1P8",386
"HSPE1P9",0
"HSPG2",33
"HSPH1",0
"HTATIP2",0
"HTATSF1",0
"HTATSF1P1",0
"HTATSF1P2",336
"HTD2",0
"HTN1",0
"HTN3",0
"HTR1A",0
"HTR1B",0
"HTR1D",0
"HTR1DP1",6
"HTR1E",0
"HTR1F",0
"HTR2A",25
"HTR2A-AS1",0
"HTR2B",45
"HTR2C",0
"HTR3A",0
"HTR3B",0
"HTR3C",0
"HTR3D",0
"HTR3E",1
"HTR3E-AS1",0
"HTR4",0
"HTR5A",0
"HTR5A-AS1",0
"HTR5BP",75
"HTR6",219
"HTR7",0
"HTR7P1",0
"HTRA1",32
"HTRA2",792
"HTRA3",0
"HTRA4",236
"HTT",4
"HTT-AS",3
"HUNK",0
"HUNK-AS1",0
"HUS1",0
"HUS1B",0
"HUWE1",12
"HVCN1",56
"HYAL1",4
"HYAL2",3
"HYAL3",3
"HYAL4",0
"HYAL6P",0
"HYDIN",1
"HYDIN2",0
"HYI",245
"HYI-AS1",0
"HYKK",2
"HYLS1",42
"HYMAI",0
"HYOU1",0
"HYPK",5
"HYPM",0
"IAH1",107
"IAPP",0
"IARS",8
"IARS2",74
"IARS2P1",0
"IBA57",5
"IBA57-DT",0
"IBSP",3
"IBTK",0
"ICA1",0
"ICA1L",3
"ICAM1",0
"ICAM2",6
"ICAM3",95
"ICAM4",0
"ICAM5",0
"ICE1",8
"ICE2",0
"ICE2P1",0
"ICE2P2",0
"ICK",4
"ICMT",131
"ICOS",0
"ICOSLG",0
"ID1",3
"ID2",3
"ID2-AS1",7
"ID3",0
"ID4",0
"IDE",0
"IDH1",2
"IDH1-AS1",0
"IDH2",12
"IDH2-DT",1
"IDH3A",1
"IDH3B",225
"IDH3G",40
"IDI1",7
"IDI2",166
"IDI2-AS1",580
"IDNK",8
"IDO1",0
"IDO2",0
"IDS",0
"IDSP1",44
"IDUA",476
"IER2",10
"IER3",2
"IER3-AS1",0
"IER3IP1",0
"IER5",8
"IER5L",4
"IFFO1",3
"IFFO2",0
"IFI16",0
"IFI27",0
"IFI27L1",0
"IFI27L2",0
"IFI30",0
"IFI35",1161
"IFI44",0
"IFI44L",0
"IFI6",0
"IFIH1",0
"IFIT1",15
"IFIT1B",6
"IFIT1P1",1
"IFIT2",7
"IFIT3",7
"IFIT5",28
"IFIT6P",2
"IFITM1",0
"IFITM10",0
"IFITM2",2
"IFITM3",176
"IFITM4P",0
"IFITM5",207
"IFITM8P",0
"IFITM9P",0
"IFNA1",0
"IFNA10",0
"IFNA11P",0
"IFNA12P",0
"IFNA13",0
"IFNA14",0
"IFNA16",0
"IFNA17",0
"IFNA2",0
"IFNA20P",28
"IFNA21",0
"IFNA22P",0
"IFNA4",0
"IFNA5",0
"IFNA6",0
"IFNA7",0
"IFNA8",0
"IFNAR1",10
"IFNAR2",2
"IFNB1",0
"IFNE",0
"IFNG",0
"IFNG-AS1",0
"IFNGR1",5
"IFNGR2",0
"IFNK",34
"IFNL1",0
"IFNL2",0
"IFNL3",0
"IFNL3P1",0
"IFNL4",0
"IFNL4P1",0
"IFNLR1",0
"IFNNP1",0
"IFNW1",0
"IFNWP15",0
"IFNWP18",0
"IFNWP19",0
"IFNWP2",0
"IFNWP4",0
"IFNWP5",0
"IFNWP9",0
"IFRD1",9
"IFRD2",7
"IFT122",46
"IFT140",201
"IFT172",803
"IFT20",2310
"IFT22",110
"IFT27",5
"IFT43",0
"IFT46",27
"IFT52",0
"IFT57",0
"IFT74",113
"IFT74-AS1",0
"IFT80",47
"IFT81",6
"IFT88",12
"IGBP1",0
"IGBP1-AS1",2
"IGBP1-AS2",300
"IGBP1P1",10
"IGBP1P3",0
"IGBP1P4",0
"IGBP1P5",0
"IGDCC3",0
"IGDCC4",0
"IGF1",25
"IGF1R",3
"IGF2",14
"IGF2-AS",9
"IGF2BP1",0
"IGF2BP2",0
"IGF2BP2-AS1",22
"IGF2BP3",292
"IGF2R",178
"IGFALS",8
"IGFBP1",288
"IGFBP2",97
"IGFBP3",42
"IGFBP4",55
"IGFBP5",18
"IGFBP6",0
"IGFBP7",168
"IGFBP7-AS1",1216
"IGFBPL1",0
"IGFL1",0
"IGFL1P1",0
"IGFL1P2",0
"IGFL2",0
"IGFL2-AS1",1
"IGFL3",0
"IGFL4",2
"IGFLR1",1
"IGFN1",0
"IGHA1",0
"IGHA2",0
"IGHD",0
"IGHD1-1",0
"IGHD1-14",0
"IGHD1-20",0
"IGHD1-26",0
"IGHD1-7",0
"IGHD1OR15-1A",0
"IGHD1OR15-1B",0
"IGHD2-15",0
"IGHD2-2",0
"IGHD2-21",0
"IGHD2-8",0
"IGHD2OR15-2A",0
"IGHD2OR15-2B",0
"IGHD3-10",0
"IGHD3-16",0
"IGHD3-22",0
"IGHD3-3",0
"IGHD3-9",0
"IGHD3OR15-3A",0
"IGHD3OR15-3B",0
"IGHD4-11",0
"IGHD4-17",0
"IGHD4-23",0
"IGHD4-4",0
"IGHD4OR15-4A",0
"IGHD4OR15-4B",0
"IGHD5-12",0
"IGHD5-18",0
"IGHD5-24",0
"IGHD5-5",0
"IGHD5OR15-5A",0
"IGHD5OR15-5B",0
"IGHD6-13",0
"IGHD6-19",0
"IGHD6-25",0
"IGHD6-6",0
"IGHD7-27",0
"IGHE",0
"IGHEP1",0
"IGHEP2",0
"IGHG1",0
"IGHG2",0
"IGHG3",0
"IGHG4",0
"IGHGP",0
"IGHJ1",0
"IGHJ1P",0
"IGHJ2",0
"IGHJ2P",0
"IGHJ3",0
"IGHJ3P",0
"IGHJ4",0
"IGHJ5",0
"IGHJ6",0
"IGHM",0
"IGHMBP2",0
"IGHV1-12",0
"IGHV1-14",0
"IGHV1-17",0
"IGHV1-18",0
"IGHV1-2",0
"IGHV1-24",0
"IGHV1-3",0
"IGHV1-45",0
"IGHV1-46",0
"IGHV1-58",0
"IGHV1-67",0
"IGHV1-68",0
"IGHV1-69",0
"IGHV1-69-2",0
"IGHV1-69D",0
"IGHV1OR15-1",0
"IGHV1OR15-2",0
"IGHV1OR15-3",0
"IGHV1OR15-4",0
"IGHV1OR15-6",0
"IGHV1OR15-9",0
"IGHV1OR16-1",0
"IGHV1OR16-2",0
"IGHV1OR16-3",0
"IGHV1OR16-4",0
"IGHV1OR21-1",0
"IGHV2-26",0
"IGHV2-5",0
"IGHV2-70",0
"IGHV2-70D",0
"IGHV2OR16-5",0
"IGHV3-11",0
"IGHV3-13",0
"IGHV3-15",0
"IGHV3-16",0
"IGHV3-19",0
"IGHV3-20",0
"IGHV3-21",0
"IGHV3-22",0
"IGHV3-23",0
"IGHV3-25",0
"IGHV3-29",0
"IGHV3-30",0
"IGHV3-30-2",0
"IGHV3-32",0
"IGHV3-33",0
"IGHV3-33-2",0
"IGHV3-35",0
"IGHV3-36",0
"IGHV3-37",0
"IGHV3-38",0
"IGHV3-41",0
"IGHV3-42",0
"IGHV3-43",0
"IGHV3-47",0
"IGHV3-48",0
"IGHV3-49",0
"IGHV3-50",0
"IGHV3-52",0
"IGHV3-53",0
"IGHV3-54",0
"IGHV3-57",0
"IGHV3-6",0
"IGHV3-60",0
"IGHV3-62",0
"IGHV3-63",0
"IGHV3-64",0
"IGHV3-64D",0
"IGHV3-65",0
"IGHV3-66",0
"IGHV3-69-1",0
"IGHV3-7",0
"IGHV3-71",0
"IGHV3-72",0
